Date;Open;High;Low;Close;Adj Close;Volume;rt;(rt-rtbar)^2;;;;;;
31/01/2018;93.750.000;95.400.002;93.510.002;95.010.002;94.157.661;48756300;0.024182313;0.000518716;;;;;;
01/02/2018;94.790.001;96.070.000;93.580.002;94.260.002;93.414.398;47227900;-0.007925228;8.70902E-05;;;;;;
02/02/2018;93.639.999;93.970.001;91.500.000;91.779.999;90.956.635;47867800;-0.026662545;0.000787898;;;;;;
05/02/2018;90.559.998;93.239.998;88.000.000;88.000.000;87.210.556;51031500;-0.042057584;0.001889169;;;;;;
06/02/2018;86.889.999;91.480.003;85.250.000;91.330.002;90.510.681;67998600;0.037142528;0.001277029;;;;;;
07/02/2018;90.489.998;91.769.997;89.199.997;89.610.001;88.806.107;41107600;-0.019012411;0.000416952;;;;;;
08/02/2018;89.709.999;89.879.997;84.760.002;85.010.002;84.247.375;55628700;-0.052698012;0.00292735;;;;;;
09/02/2018;86.300.003;88.930.000;83.830.002;88.180.000;87.388.939;63499100;0.03661126;0.001239341;;;;;;
12/02/2018;88.739.998;89.779.999;87.930.000;89.129.997;88.330.406;35720300;0.010715765;8.66534E-05;;;;;;
13/02/2018;88.930.000;90.000.000;87.800.003;89.830.002;89.024.132;26407700;0.007823073;4.11662E-05;;;;;;
14/02/2018;88.510.002;90.989.998;88.410.004;90.809.998;90.418.091;34960900;0.010850372;8.91776E-05;;;;;;
15/02/2018;91.209.999;92.720.001;90.620.003;92.660.004;92.260.117;27823900;0.020167533;0.000351958;;;;;;
16/02/2018;92.449.997;93.500.000;91.800.003;92.000.000;91.602.959;30596900;-0.007148346;7.31937E-05;;;;;;
20/02/2018;91.480.003;93.059.998;91.010.002;92.720.001;92.319.855;30911700;0.007795633;4.08148E-05;;;;;;
21/02/2018;92.980.003;93.360.001;91.489.998;91.489.998;91.095.154;26922500;-0.013354555;0.000217903;;;;;;
22/02/2018;92.050.003;92.730.003;91.360.001;91.730.003;91.334.129;24392800;0.002619857;1.47106E-06;;;;;;
23/02/2018;93.599.998;94.070.000;92.360.001;94.059.998;93.654.068;26329200;0.025083343;0.00056057;;;;;;
26/02/2018;94.400.002;95.449.997;94.250.000;95.419.998;95.008.194;30199800;0.014355324;0.00016766;;;;;;
27/02/2018;95.739.998;95.839.996;94.199.997;94.199.997;93.793.457;25869100;-0.012868029;0.000203776;;;;;;
28/02/2018;94.839.996;95.709.999;93.629.997;93.769.997;93.365.318;31167300;-0.004575206;3.57866E-05;;;;;;
01/03/2018;93.989.998;94.570.000;91.839.996;92.849.998;92.449.287;37135600;-0.009859677;0.000126938;;;;;;
02/03/2018;91.580.002;93.150.002;90.860.001;93.050.003;92.648.430;32830400;0.002151749;5.54677E-07;;;;;;
05/03/2018;92.339.996;94.269.997;92.260.002;93.639.999;93.235.878;23901600;0.006320617;2.41438E-05;;;;;;
06/03/2018;94.339.996;94.489.998;92.940.002;93.320.000;92.917.259;22175800;-0.003423185;2.33305E-05;;;;;;
07/03/2018;93.160.004;93.940.002;92.430.000;93.860.001;93.454.933;26716100;0.005769874;1.90348E-05;;;;;;
08/03/2018;94.269.997;95.099.998;93.769.997;94.430.000;94.022.469;25887800;0.006054498;2.15994E-05;;;;;;
09/03/2018;95.290.001;96.540.001;95.000.000;96.540.001;96.123.367;36937300;0.022098621;0.000428144;;;;;;
12/03/2018;96.500.000;97.209.999;96.040.001;96.769.997;96.352.371;26073700;0.002379557;9.45901E-07;;;;;;
13/03/2018;97.000.000;97.239.998;93.970.001;94.410.004;94.002.563;35387800;-0.024689956;0.00068105;;;;;;
14/03/2018;95.120.003;95.410.004;93.500.000;93.849.998;93.444.969;32132000;-0.0059493;5.41149E-05;;;;;;
15/03/2018;93.529.999;94.580.002;92.830.002;94.180.000;93.773.552;27611000;0.003510103;4.42311E-06;;;;;;
16/03/2018;94.680.000;95.379.997;93.919.998;94.599.998;94.191.734;49081300;0.00444961;9.25758E-06;;;;;;
19/03/2018;93.739.998;93.900.002;92.110.001;92.889.999;92.489.113;33344100;-0.018241468;0.000386062;;;;;;
20/03/2018;93.050.003;93.769.997;93.000.000;93.129.997;92.728.081;23075200;0.002580348;1.37678E-06;;;;;;
21/03/2018;92.930.000;94.050.003;92.209.999;92.480.003;92.080.887;24457100;-0.007003897;7.07429E-05;;;;;;
22/03/2018;91.269.997;91.750.000;89.660.004;89.790.001;89.402.496;38604700;-0.029518816;0.000956405;;;;;;
23/03/2018;89.500.000;90.459.999;87.080.002;87.180.000;86.803.757;44068900;-0.029498675;0.00095516;;;;;;
26/03/2018;90.610.001;94.000.000;90.400.002;93.779.999;93.375.275;56396800;0.072976656;0.005122218;;;;;;
27/03/2018;94.940.002;95.139.999;88.510.002;89.470.001;89.083.878;56569000;-0.047048218;0.002347907;;;;;;
28/03/2018;89.820.000;91.230.003;88.870.003;89.389.999;89.004.219;52501100;-0.000894577;5.29718E-06;;;;;;
29/03/2018;90.180.000;92.290.001;88.400.002;91.269.997;90.876.106;45867500;0.020813306;0.000376605;;;;;;
02/04/2018;90.470.001;90.879.997;87.510.002;88.519.997;88.137.970;48515400;-0.030593632;0.001024039;;;;;;
03/04/2018;89.580.002;90.050.003;87.889.999;89.709.999;89.322.838;37213800;0.013353753;0.000142725;;;;;;
04/04/2018;87.849.998;92.760.002;87.730.003;92.330.002;91.931.534;35560000;0.028786903;0.00074966;;;;;;
05/04/2018;92.440.002;93.070.000;91.400.002;92.379.997;91.981.316;29771900;0.000541335;7.49346E-07;;;;;;
06/04/2018;91.489.998;92.459.999;89.480.003;90.230.003;89.840.599;38026000;-0.023548473;0.000622775;;;;;;
09/04/2018;91.040.001;93.169.998;90.620.003;90.769.997;90.378.265;31533900;0.005966802;2.0792E-05;;;;;;
10/04/2018;92.389.999;93.279.999;91.639.999;92.879.997;92.479.156;26812000;0.022979504;0.000465374;;;;;;
11/04/2018;92.010.002;93.290.001;91.480.003;91.860.001;91.463.562;24872100;-0.011042615;0.000154992;;;;;;
12/04/2018;92.430.000;94.160.004;92.430.000;93.580.002;93.176.140;26758900;0.018551017;0.000293918;;;;;;
